,Train,Val,Test
BRCA,528,75,151
HNSC,355,51,101
LGG,347,50,99
THCA,346,50,99
PRAD,341,49,97
LUAD,311,44,89
SKCM,304,44,87
UCEC,298,42,85
BLCA,271,39,77
STAD,266,38,76
LIHC,247,35,70
LUSC,247,35,70
KIRC,216,31,62
CESC,206,30,59
COAD,180,26,52
SARC,167,24,48
KIRP,153,22,44
LAML,129,18,37
PCPG,122,18,35
ESCA,117,17,34
PAAD,110,16,32
GBM,96,14,27
TGCT,93,13,27
THYM,84,12,24
READ,62,9,18
MESO,61,9,17
ACC,49,7,14
UVM,44,6,13
KICH,37,5,11
DLBC,32,5,9
UCS,32,5,9
CHOL,9,1,3
